Time_s,Velocity_Linear_mps,Velocity_Sine_mps,Velocity_Exp_mps,Velocity_Poly5_mps
10.798,0.35,0.35,0.35,0.35
10.8,0.35,0.35,0.35,0.35
10.802,0.35,0.35,0.35,0.35
10.804,0.35,0.35,0.35,0.35
10.806,0.35,0.35,0.35,0.35
10.808,0.35,0.35,0.35,0.35
10.81,0.35,0.35,0.35,0.35
10.812,0.35,0.35,0.35,0.35
10.814,0.35,0.35,0.35,0.35
10.816,0.35,0.35,0.35,0.35
10.818,0.35,0.35,0.35,0.35
10.82,0.35,0.35,0.35,0.35
10.822,0.35,0.35,0.35,0.35
10.824,0.35,0.35,0.35,0.35
10.826,0.35,0.35,0.35,0.35
10.828,0.35,0.35,0.35,0.35
10.83,0.35,0.35,0.35,0.35
10.832,0.35,0.35,0.35,0.35
10.834,0.35,0.35,0.35,0.35
10.836,0.35,0.35,0.35,0.35
10.838,0.35,0.35,0.35,0.35
10.84,0.35,0.35,0.35,0.35
10.842,0.35,0.35,0.35,0.35
10.844,0.35,0.35,0.35,0.35
10.846,0.35,0.35,0.35,0.35
10.848,0.35,0.35,0.35,0.35
10.85,0.35,0.35,0.35,0.35
10.852,0.35,0.35,0.35,0.35
10.854,0.35,0.35,0.35,0.35
10.856,0.35,0.35,0.35,0.35
10.858,0.35,0.35,0.35,0.35
10.86,0.35,0.35,0.35,0.35
10.862,0.35,0.35,0.35,0.35
10.864,0.35,0.35,0.35,0.35
10.866,0.35,0.35,0.35,0.35
10.868,0.35,0.35,0.35,0.35
10.87,0.35,0.35,0.35,0.35
10.872,0.35,0.35,0.35,0.35
10.874,0.35,0.35,0.35,0.35
10.876,0.35,0.35,0.35,0.35
10.878,0.35,0.35,0.35,0.35
10.88,0.35,0.35,0.35,0.35
10.882,0.35,0.35,0.35,0.35
10.884,0.35,0.35,0.35,0.35
10.886,0.35,0.35,0.35,0.35
10.888,0.35,0.35,0.35,0.35
10.89,0.35,0.35,0.35,0.35
10.892,0.35,0.35,0.35,0.35
10.894,0.35,0.35,0.35,0.35
10.896,0.35,0.35,0.35,0.35
10.898,0.35,0.35,0.35,0.35
10.9,0.35,0.35,0.35,0.35
10.902,0.35,0.35,0.35,0.35
10.904,0.35,0.35,0.35,0.35
10.906,0.35,0.35,0.35,0.35
10.908,0.35,0.35,0.35,0.35
10.91,0.35,0.35,0.35,0.35
10.912,0.35,0.35,0.35,0.35
10.914,0.35,0.35,0.35,0.35
10.916,0.35,0.35,0.35,0.35
10.918,0.35,0.35,0.35,0.35
10.92,0.35,0.35,0.35,0.35
10.922,0.35,0.35,0.35,0.35
10.924,0.35,0.35,0.35,0.35
10.926,0.35,0.35,0.35,0.35
10.928,0.35,0.35,0.35,0.35
10.93,0.35,0.35,0.35,0.35
10.932,0.35,0.35,0.35,0.35
10.934,0.35,0.35,0.35,0.35
10.936,0.35,0.35,0.35,0.35
10.938,0.35,0.35,0.35,0.35
10.94,0.35,0.35,0.35,0.35
10.942,0.35,0.35,0.35,0.35
10.944,0.35,0.35,0.35,0.35
10.946,0.35,0.35,0.35,0.35
10.948,0.35,0.35,0.35,0.35
10.95,0.35,0.35,0.35,0.35
10.952,0.35,0.35,0.35,0.35
10.954,0.35,0.35,0.35,0.35
10.956,0.35,0.35,0.35,0.35
10.958,0.35,0.35,0.35,0.35
10.96,0.35,0.35,0.35,0.35
10.962,0.35,0.35,0.35,0.35
10.964,0.35,0.35,0.35,0.35
10.966,0.35,0.35,0.35,0.35
10.968,0.35,0.35,0.35,0.35
